Imaging phenotype cluster ID,CD45,Ly6C,TCR,Ly6G,CD19,CD169,CD106,CD3,CD1632,CD8a,CD90,F480,CD11c,Ter119,CD11b,IgD,CD27,CD5,CD79b,CD71,CD31,CD4,IgM,B220,ERTR7,CD35,CD2135,CD44,NKp46,X.X,Y.Y,Z.Z,MHCII,blank_Cy3_cyc15,blank_Cy5_cyc15,sample_Xtile_Ytile,niche cluster ID
9597,2051.2578125,-23.6416893005371,36.5496711730957,447.764984130859,2425.56225585938,546.141906738281,1449.55322265625,72.8244171142578,1779.275390625,1792.70947265625,1954.74670410156,178.759170532227,1958.1201171875,44.5751075744629,340.224212646484,2960.25463867188,360.946685791016,613.923156738281,2713.44995117188,161.195861816406,1606.27600097656,-103.368026733398,696.608337402344,2198.2607421875,57.280933380127,6382.57373046875,4422.22021484375,1381.79699707031,391.744323730469,50,83,8,2515.96923828125,1234.90881347656,700.406921386719,BALBc-1_X03_Y03,72
9596,794.209716796875,209.058319091797,567.107666015625,180.153579711914,648.277160644531,1060.58374023438,1666.119140625,579.600830078125,1201.83520507812,715.352233886719,1107.40185546875,513.673583984375,1130.70690917969,171.041976928711,102.578430175781,83.6636734008789,454.947357177734,634.710510253906,952.874450683594,80.6613311767578,1050.02453613281,1352.49145507812,164.468399047852,-335.640289306641,1170.32202148438,299.37353515625,19.407829284668,1648.20703125,347.197357177734,878,156,8,-203.623809814453,366.927520751953,315.023956298828,BALBc-1_X03_Y03,96
9602,2688.13940429688,-154.066482543945,144.272491455078,79.417121887207,1193.60595703125,5262.20947265625,1629.17407226562,-427.866394042969,3977.04174804688,844.611267089844,2021.94262695312,-233.70344543457,2762.12768554688,7.77228593826294,847.2119140625,1001.78607177734,1146.50927734375,130.265640258789,2014.03601074219,-30.6346435546875,1360.54943847656,443.586883544922,434.68310546875,535.986877441406,598.263366699219,1144.68725585938,431.106414794922,5770.45849609375,724.60302734375,751,363,10,3678.5595703125,1787.18957519531,653.387451171875,BALBc-1_X03_Y03,33
9640,3467.26953125,247.939529418945,999.547729492188,225.61962890625,2021.29504394531,812.457641601562,1318.32348632812,522.017395019531,1235.52844238281,764.136047363281,2217.66137695312,467.174102783203,1453.19714355469,71.2132949829102,227.211517333984,912.580322265625,936.698913574219,3070.93603515625,2287.37377929688,175.013626098633,855.987426757812,1341.48388671875,457.922973632812,2688.3603515625,419.250091552734,-179.206130981445,36.9502029418945,853.517883300781,318.608825683594,142,93,4,1711.8193359375,1059.4619140625,426.055603027344,BALBc-1_X03_Y03,53
9640,606.032287597656,-245.462051391602,-469.913482666016,-115.842269897461,602.621154785156,-253.553375244141,488.473754882812,-1174.60095214844,692.587524414062,-55.2341804504395,17.5965385437012,-215.977416992188,487.834197998047,206.086196899414,170.291610717773,1864.39318847656,-40.809009552002,-828.628234863281,997.454650878906,18.2006092071533,1557.25354003906,-223.767196655273,306.435089111328,2001.38403320312,222.486831665039,675.092712402344,530.01513671875,970.983520507812,438.189727783203,890,137,10,3622.26342773438,1125.98291015625,258.824890136719,BALBc-1_X03_Y03,67
9640,1456.36999511719,-24.2161674499512,-59.3566360473633,103.412170410156,829.600158691406,382.635864257812,428.951263427734,-329.077850341797,754.167724609375,129.801330566406,224.22966003418,133.849029541016,980.515014648438,5.17210006713867,183.666931152344,3939.49682617188,187.906051635742,404.209991455078,1566.05700683594,119.696624755859,635.98583984375,-193.167098999023,336.275024414062,1997.94714355469,153.794952392578,1935.6201171875,1085.07019042969,799.140563964844,224.574035644531,73,366,7,1942.63720703125,819.377258300781,367.830230712891,BALBc-1_X03_Y03,53
9640,3723.92700195312,-244.71940612793,-10.076789855957,-146.06071472168,3194.68969726562,1075.04711914062,904.097351074219,-1097.03796386719,3438.52197265625,369.257904052734,2027.18005371094,-457.475646972656,2136.03002929688,240.404647827148,375.588348388672,3877.76782226562,527.174987792969,-11.4016075134277,6170.0615234375,57.5921401977539,1976.99426269531,760.584838867188,1665.35266113281,1391.50671386719,1184.17102050781,2512.78149414062,1044.92333984375,3310.32763671875,696.234130859375,841,577,10,6731.8388671875,2171.08129882812,886.592468261719,BALBc-1_X03_Y03,96
9613,1174.13623046875,47.2955894470215,420.369720458984,244.176620483398,239.046447753906,1004.19085693359,7034.0712890625,838.730529785156,2213.34936523438,1439.83532714844,2053.9609375,3481.6396484375,1584.04833984375,41.6482276916504,25.0235748291016,-644.284362792969,752.955932617188,614.165710449219,105.643585205078,126.476791381836,2559.4326171875,2518.6298828125,15.9488954544067,-360.454254150391,4883.00390625,286.298248291016,17.6786003112793,6472.16552734375,611.891174316406,1300,378,10,276.490875244141,644.396118164062,675.943420410156,BALBc-1_X03_Y03,35
9619,-2.08414483070374,-21.2191734313965,397.502197265625,-79.3938598632812,-610.096069335938,-130.808303833008,-237.445404052734,1016.18341064453,-325.988037109375,-501.464019775391,840.467651367188,-33.3342475891113,-498.472045898438,72.2675552368164,34.5119438171387,-1889.80029296875,123.888801574707,3968.81762695312,-763.467041015625,-120.873222351074,-300.317230224609,4568.451171875,-134.435699462891,-1541.67712402344,22.2255477905273,-1723.47705078125,-1119.83276367188,299.573822021484,164.667770385742,124,84,11,-327.578063964844,120.521606445312,-33.3481369018555,BALBc-1_X03_Y03,72
9640,1075.72058105469,-67.744873046875,12.0461187362671,32.9981727600098,649.522888183594,374.021667480469,503.855255126953,-230.720764160156,982.738708496094,207.575531005859,727.902038574219,23.1051387786865,1238.091796875,61.0590515136719,189.777374267578,1864.15747070312,211.692855834961,192.711700439453,1137.38684082031,78.9286270141602,973.761047363281,540.838195800781,215.42822265625,808.138488769531,204.041885375977,2344.84008789062,874.53515625,1293.89624023438,350.656585693359,253,440,7,1839.67065429688,788.730163574219,397.476226806641,BALBc-1_X03_Y03,72
9640,3300.25952148438,-237.021240234375,-136.02668762207,-61.7795867919922,1466.35290527344,-374.528839111328,213.681121826172,-913.217346191406,820.279846191406,115.17121887207,733.063903808594,-136.924118041992,1006.60308837891,29.3101348876953,326.586486816406,6928.93310546875,150.055191040039,-9.17836952209473,3649.587890625,100.266471862793,980.169494628906,51.905029296875,992.999694824219,4716.89794921875,65.1084976196289,683.625305175781,540.252380371094,712.772827148438,467.112762451172,298,10,8,5534.1240234375,1611.68957519531,399.471343994141,BALBc-1_X03_Y03,72
